site_name	url	snippet	discovery_source	source_status	vibe_score	deal_title	deal_price	original_price	meh_signals	meh_signal_hits	scrape_method	quality_score	niche	rationale	accepted	rejection_reason
Woot	https://www.woot.com	Daily deals electronics home tools	seed	new	7	Woot			woot	1	requests	9	Meh-style daily deals	Woot is a well-known daily deal site that fits the criteria, offering a single discounted product each day with a distinct brand personality.	yes	
Steep & Cheap	https://www.steepandcheap.com	Outdoor gear flash deal daily	seed	new	7	JavaScript is disabled				0	requests	0	Outdoor gear	The website is a daily deal site for outdoor gear, but the page is currently not loading properly due to a JavaScript issue, preventing a full assessment.	no	score 0 < 6
Touch of Modern	https://www.touchofmodern.com	Men lifestyle daily flash sale	seed	new	7	I love discovering cool new stuff on TouchOfModern.com! Check out my invitation to start your haute hunting.				0	requests	5	Men's lifestyle products	TouchOfModern appears to be a daily flash sale site for men's lifestyle products, but it lacks the distinct personality and single-item focus typical of 'Meh-style' deal sites.	no	score 5 < 6
Drop	https://drop.com	Enthusiast daily deals audio keyboards EDC	seed	new	7	Drop - Gaming Collaborations			pass	1	requests	7	Enthusiast daily deals	Drop.com is a daily deals site that focuses on enthusiast products like audio, keyboards, and EDC gear, with a strong emphasis on gaming collaborations and limited-edition items.	yes	
Camofire	https://www.camofire.com	Hunting outdoor daily deal one at a time	seed	new	7	Current Deals			daily deal	1	requests	7	Hunting and outdoor gear	Camofire appears to be a US-based daily deal site focused on hunting and outdoor gear, which aligns with the given criteria.	yes	
AppSumo	https://appsumo.com	Software deals today only limited	seed	new	7	AppSumo - Discover products. Stay weird.	$49			0	requests	9	Software deals	AppSumo is a well-established daily deal site that offers a single discounted software product per day, with a clear pricing structure and personality-driven copy, making it a strong candidate for the 'one deal a day' niche.	yes	
BJJHQ	https://www.bjjhq.com	One BJJ gear deal a day	seed	new	7	Kitsune "MOD" Backpack $64 on BJJHQ. One Great BJJ Gear Deal A Day.	$5		today only	1	requests	9	Brazilian Jiu-Jitsu gear	BJJHQ is a US-based, independently operated website that primarily sells one discounted Brazilian Jiu-Jitsu (BJJ) gear item per day, aligning with the 'one deal a day' format.	yes	
Last Bottle	https://lastbottle.com	Single wine deal per day until gone	seed	new	7					0	failed	0	N/A	The website appears to be a single-item daily deal site, but the page scrape failed and there is no information about the current deal or pricing, so it cannot be properly evaluated.	no	score 0 < 6
Jane	https://jane.com	Women boutique daily deals	seed	new	7					0	failed	3	Women's fashion	The website appears to be a women's boutique that may offer daily deals, but there is no information on the live page to confirm this or evaluate the deal format and quality.	no	score 3 < 6
1Sale	https://www.1sale.com	Daily deals flash sale	seed	new	7	Coupon Codes, Promo Codes, Daily Deals, Save Money Today | 1Sale	$ 9.99		daily deal	1	requests	8	Daily deals	1Sale appears to be a legitimate daily deal site that meets the criteria, with a focus on selling one discounted product per day directly to consumers.	yes	
That Daily Deal	https://www.thatdailydeal.com	One deal a day US	seed	new	7	Moon Lamp With 16 Color Options and Remote Control - SHIPS FREE!	$14.99			0	requests	8	Daily deals on consumer products	This appears to be a legitimate 'one deal a day' website with a focus on discounted consumer products, meeting the key criteria for the role.	yes	
Tri State Distributors - Home	https://shop.tristatedistributors.com/	Forno Outdoor · Primo · TRU IN & OUT · Weber · WPPO Pizza Ovens · Locations · Spiff · Warranty · Contact Us · DEAL OF THE DAY. Serving the independent dealer ...	search	new	4	Tri State Distributors - Home	$0.00			0	requests	0	Wholesale distribution	This appears to be a wholesale distributor website for various home and outdoor products, not a consumer-facing daily deal site.	no	score 0 < 6
UntilGone	https://www.untilgone.com	Limited quantity daily deals	seed	new	7	UntilGone.com	$69.99			0	requests	8	Meh-style daily deals	UntilGone.com appears to be a legitimate daily deal site focused on selling one discounted product per day directly to consumers, which meets the criteria for the role.	yes	
Tanga	https://www.tanga.com	Deal of the day since 2006	seed	new	7	American Owned & Operated	$29.99	$119.98		0	requests	8	Meh-style daily deals	Tanga is a US-based daily deal site that meets the criteria of being independently operated and focused on selling one discounted product per day directly to consumers.	yes	
Scicon Sports 15 Days of Celebration - A new deal every day!	https://as.sciconsports.com/pages/15-days-of-celebration?srsltid=AfmBOoqDpxYk3ivHfaOhxvJ_Yi4wNA01t6s1rB2UKsd5vsbiCHs41sbp	Scicon Sports 15 Days of Celebration - A new deal every day! Home; 15 Days of ... Starting December 11, you'll find exclusive offers each day, giving you plenty ...	search	new	4	Scicon Sports 15 Days of Celebration - A new deal every day!	$50			0	requests	8	Cycling and sports equipment	This appears to be a legitimate daily deal site for Scicon Sports products, with a clear focus on a single discounted item each day during a limited-time promotion.	yes	
SideDeal	https://sidedeal.com	Daily deals sister site to Meh	seed	new	7	Account	$ 8	$50	flash sale	1	requests	8	Daily deals	SideDeal appears to be a legitimate daily deal site, with a single discounted product featured per day, along with a membership program offering free shipping. The site has a Meh-style personality and focus on one-off deals.	yes	
Meh	https://meh.com	One deal a day	seed	new	7	Odyssey Toys Zoom Cam Mini RC Racer FPV	$ 29	$80		0	requests	9	Meh-style daily deals	Meh.com is a US-based, independently operated website whose primary business model is selling one discounted product per day directly to consumers, which aligns with the criteria.	yes	
mountain biking Archives - Western North Carolina	https://madexmtns.com/product-tag/mountain-biking/	Cane Creek Cycling Components | 10 Days of Gifts - A New Deal Every Day! Cane Creek Cycling Components | 10 Days of Gifts – A New Deal Every Day! Dec. 9-18.	search	new	4					0	failed	0	mountain biking	This website appears to be focused on mountain biking products and information, not a daily deal site.	no	score 0 < 6
